	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
   24100.000 -1667225.505   143441.271    86821.153   184920.304     1126.953 -2357222.584   273687.399    42987.987       27.150       55.362     6988.172       18.244      264.000   116274.000       33.000     2602.000       38.000      155.000       84.000        8.000       67.301        0.000        8.304       24.394        0.000        0.000        2.060        2.079        3.103
   24200.000 -1666602.807   139690.314    86388.473   185282.096     1080.965 -2356219.320   277174.665    42523.820       27.186       55.351     6919.853       18.255      266.000   115952.000       35.000     2640.000       32.000      149.000       91.000        7.000       67.301        0.000        6.228       25.779        0.692        0.000        2.189        2.202        3.273
   24300.000 -1665191.356   145645.785    86318.900   184829.686     1126.523 -2352050.641   268938.389    41942.281       27.221       55.413     6902.907       18.288      257.000   115864.000       29.000     2589.000       30.000      147.000       76.000        7.000       69.550        0.000        7.612       21.453        1.384        0.000        2.301        2.311        3.363
   24400.000 -1667004.241   143770.755    87560.829   184333.683     1096.284 -2355939.058   272173.266    42427.982       27.197       55.386     6925.787       18.264      251.000   116210.000       33.000     2574.000       23.000      153.000       82.000        8.000       64.187        0.000       11.073       23.875        0.865        0.000        2.226        2.244        3.275
   24500.000 -1668346.280   142661.637    86274.987   184770.304     1086.182 -2354528.521   271389.130    42175.447       27.196       55.370     6901.448       18.171      270.000   116304.000       28.000     2629.000       29.000      163.000       84.000        7.000       65.917        0.000        7.612       25.433        1.038        0.000        2.235        2.249        3.256
   24600.000 -1666536.891   141691.828    86425.259   185437.038     1124.104 -2356101.684   274886.564    41977.700       27.150       55.381     6964.951       18.105      259.000   116012.000       32.000     2594.000       26.000      137.000       87.000        7.000       66.609        0.000        7.612       23.529        2.249        0.000        2.273        2.283        3.264
   24700.000 -1668154.200   144135.998    86096.757   184301.518     1160.416 -2356926.062   273077.173    42527.163       27.274       55.382     7086.119       18.323      251.000   116276.000       33.000     2652.000       35.000      148.000       87.000        7.000       67.647        0.000        8.304       22.491        1.557        0.000        2.167        2.181        3.288
   24800.000 -1666879.853   143991.423    86200.907   185091.545     1161.457 -2357163.581   273838.397    41903.832       27.214       55.393     7073.670       18.304      275.000   116122.000       35.000     2545.000       32.000      151.000       82.000        7.000       66.955        0.000        8.997       22.491        1.557        0.000        2.224        2.248        3.292
   24900.000 -1667459.982   140571.899    86760.797   185080.764     1134.335 -2358020.152   277012.375    42819.555       27.214       55.332     6988.046       18.109      260.000   116440.000       35.000     2636.000       32.000      152.000       87.000        7.000       67.128        0.000        8.997       22.318        1.557        0.000        2.133        2.154        3.164
   25000.000 -1666939.547   142746.614    87290.745   185013.986     1127.440 -2358584.946   275466.615    43079.507       27.217       55.386     7064.714       18.045      252.000   116116.000       39.000     2627.000       30.000      128.000       87.000        7.000       66.090        0.000       10.381       22.664        0.865        0.000        2.297        2.315        3.248
   25100.000 -1668165.730   145583.668    86410.726   184681.492     1150.427 -2356097.817   270105.774    41972.789       27.086       55.407     6999.788       18.147      272.000   116046.000       35.000     2577.000       30.000      138.000       88.000        7.000       66.782        0.000        8.304       24.221        0.692        0.000        2.180        2.194        3.190
   25200.000 -1668486.638   143639.455    85841.796   185404.575     1144.815 -2358134.257   273616.979    42619.515       27.045       55.375     6957.888       18.018      251.000   115794.000       35.000     2604.000       33.000      147.000       86.000        8.000       67.128        0.000        7.612       24.394        0.865        0.000        1.958        1.978        2.989
   25300.000 -1667236.803   141796.249    86944.424   184917.202     1082.010 -2358312.980   276336.292    43252.421       27.175       55.366     6954.457       18.035      268.000   116218.000       30.000     2616.000       26.000      169.000       92.000        7.000       67.474        0.000        7.612       24.221        0.692        0.000        2.244        2.259        3.220
   25400.000 -1669012.827   143903.273    86410.441   184709.179     1135.658 -2357334.295   272162.917    41352.956       27.184       55.382     6915.506       18.196      241.000   116358.000       36.000     2604.000       24.000      136.000       92.000        8.000       65.571        0.000        6.920       25.952        1.557        0.000        2.030        2.048        2.995
   25500.000 -1665026.139   141100.955    87354.933   185408.754     1153.009 -2355834.343   275790.552    42636.446       27.171       55.392     7008.325       18.032      266.000   116004.000       29.000     2539.000       22.000      132.000       84.000        8.000       69.031        0.000        6.228       23.183        1.557        0.000        2.058        2.073        2.980
   25600.000 -1667559.221   142173.411    86342.742   184839.339     1104.595 -2356710.349   274691.041    42769.114       27.113       55.383     7074.170       18.013      251.000   116262.000       32.000     2581.000       28.000      152.000       83.000        8.000       66.955        0.000        6.228       25.260        1.557        0.000        2.177        2.191        3.125
   25700.000 -1667218.495   144775.001    86297.524   184611.750     1122.468 -2356240.817   272215.580    42396.148       27.066       55.376     6996.838       18.145      250.000   116224.000       29.000     2583.000       25.000      168.000       82.000        7.000       66.436        0.000        8.997       24.567        0.000        0.000        2.023        2.040        3.026
   25800.000 -1666721.308   143905.869    86518.604   184300.758     1098.110 -2355342.828   272798.180    42983.672       27.080       55.397     6895.435       18.196      266.000   115922.000       36.000     2590.000       16.000      165.000       80.000        7.000       65.917        0.000        6.920       24.048        3.114        0.000        2.161        2.177        3.118
   25900.000 -1666204.130   145821.437    87597.489   184423.987     1171.449 -2357043.930   271825.438    42504.965       27.098       55.400     7002.976       17.945      261.000   116096.000       33.000     2612.000       28.000      141.000       80.000        7.000       70.415        0.000        5.536       23.183        0.865        0.000        2.034        2.050        2.978
   26000.000 -1667409.181   144293.083    86409.802   184718.941     1130.350 -2354912.204   270950.848    41673.005       26.998       55.368     7077.765       18.211      252.000   115784.000       36.000     2605.000       35.000      166.000       84.000        8.000       66.782        0.000        8.304       23.356        1.557        0.000        1.882        1.901        2.884
   26100.000 -1666893.340   144418.218    86419.959   184772.810     1088.124 -2355158.090   271565.639    42935.865       27.108       55.389     6983.216       18.136      262.000   116194.000       36.000     2685.000       29.000      158.000       81.000        7.000       68.858        0.000        6.228       22.491        2.422        0.000        2.056        2.073        3.044
   26200.000 -1668337.891   143682.484    86428.054   184621.822     1134.498 -2354229.495   270024.747    42702.392       27.121       55.412     7021.153       18.201      268.000   116092.000       32.000     2646.000       29.000      166.000       88.000        8.000       66.263        0.000        8.304       23.875        1.557        0.000        1.913        1.936        3.020
   26300.000 -1666680.047   142983.645    86782.311   184924.526     1140.444 -2353844.710   271333.737    42101.269       27.069       55.418     7180.750       18.446      265.000   116256.000       33.000     2598.000       25.000      163.000       88.000        8.000       63.668        0.000        9.689       23.356        3.287        0.000        2.007        2.023        3.130
   26400.000 -1667843.603   143002.997    85346.461   184595.072     1112.807 -2352422.212   270521.271    42956.455       27.034       55.377     7098.823       18.226      269.000   115942.000       32.000     2569.000       34.000      169.000       84.000        7.000       66.782        0.000        8.997       22.837        1.384        0.000        2.102        2.121        3.078
   26500.000 -1665214.652   144365.061    86225.612   184363.033     1131.796 -2352525.534   271225.379    42579.473       27.074       55.415     7010.114       18.405      259.000   115764.000       23.000     2622.000       38.000      155.000       89.000        8.000       67.647        0.000        7.612       22.664        2.076        0.000        2.040        2.056        3.068
   26600.000 -1668933.668   142452.023    87210.751   184907.685     1147.744 -2357773.266   273121.395    42328.051       27.033       55.375     6966.489       18.049      248.000   116508.000       29.000     2672.000       32.000      151.000       89.000        8.000       67.993        0.000        6.920       24.048        1.038        0.000        2.013        2.031        3.066
   26700.000 -1666813.773   143920.857    85670.322   184969.360     1110.063 -2355544.581   273060.206    42621.959       27.005       55.352     6911.298       17.854      246.000   116300.000       29.000     2659.000       34.000      155.000       81.000        7.000       67.301        0.000        8.304       24.394        0.000        0.000        2.074        2.093        3.056
   26800.000 -1667352.260   143564.285    86405.789   184656.085     1166.643 -2355202.037   272056.975    42350.394       27.038       55.385     6904.989       17.906      256.000   115908.000       31.000     2543.000       31.000      150.000       90.000        7.000       70.242        0.000        5.536       23.529        0.692        0.000        1.979        1.997        2.918
   26900.000 -1668100.021   144749.191    85742.509   184795.599     1062.244 -2354153.949   269704.385    42884.336       27.108       55.375     6886.786       18.023      264.000   116004.000       24.000     2649.000       32.000      145.000       78.000        7.000       69.377        0.000        6.920       21.453        2.249        0.000        2.137        2.154        3.067
   27000.000 -1667485.540   144937.827    86555.424   184657.798     1111.723 -2356597.399   271849.086    41401.841       27.076       55.363     6905.353       17.974      279.000   116114.000       33.000     2553.000       31.000      154.000       84.000        7.000       67.993        0.000        8.304       23.010        0.692        0.000        1.997        2.015        3.040
   27100.000 -1667504.546   143041.114    85661.495   184356.273     1115.683 -2354004.718   272325.607    42185.804       27.089       55.349     6941.046       18.101      265.000   116330.000       26.000     2623.000       27.000      158.000       88.000        7.000       66.955        0.000       11.073       21.280        0.692        0.000        1.961        1.980        2.966
   27200.000 -1668308.178   144279.923    86886.045   184668.732     1116.576 -2353936.092   268676.638    42070.819       27.057       55.399     6994.937       18.076      257.000   116200.000       33.000     2608.000       34.000      171.000       77.000        7.000       65.917        0.000       11.765       22.318        0.000        0.000        1.936        1.957        2.941
   27300.000 -1667230.338   141615.418    87052.331   184526.874     1147.324 -2358486.030   276913.744    43513.997       27.134       55.397     6984.048       18.230      253.000   116140.000       29.000     2603.000       34.000      144.000       78.000        8.000       65.571        0.000        9.689       24.740        0.000        0.000        1.900        1.917        2.938
   27400.000 -1667693.804   144661.345    86202.285   184336.576     1153.050 -2353600.534   269553.474    42614.101       27.185       55.399     6985.017       18.412      260.000   116242.000       35.000     2623.000       31.000      137.000       78.000        7.000       67.647        0.000        6.228       25.087        1.038        0.000        1.948        1.966        2.966
   27500.000 -1666125.360   141430.929    87086.726   184586.839     1123.497 -2353531.807   273178.455    41870.228       27.043       55.370     6969.159       18.046      261.000   116022.000       29.000     2622.000       37.000      150.000       80.000        7.000       67.993        0.000        7.612       23.702        0.692        0.000        2.050        2.070        2.960
   27600.000 -1666200.378   145439.734    87454.926   184480.336     1208.773 -2353455.737   268671.590    42285.450       27.165       55.416     6938.398       17.826      267.000   115870.000       23.000     2539.000       30.000      154.000       79.000        7.000       68.512        0.000        5.536       24.567        1.384        0.000        2.358        2.374        3.242
   27700.000 -1666861.951   143501.755    86535.302   184772.626     1041.098 -2353656.368   270943.637    42392.078       27.022       55.371     6922.518       17.809      253.000   115876.000       32.000     2575.000       27.000      147.000       80.000        7.000       67.128        0.000        6.228       25.087        1.557        0.000        2.151        2.170        3.148
   27800.000 -1665638.620   142773.816    86823.657   184793.878     1129.921 -2355645.893   274486.001    42632.303       27.027       55.318     6936.967       17.838      265.000   116226.000       32.000     2672.000       22.000      150.000       84.000        8.000       67.301        0.000        8.304       22.837        1.557        0.000        2.182        2.203        3.192
   27900.000 -1667244.131   142775.536    86900.661   185014.687     1103.364 -2354676.093   271637.714    43086.889       27.158       55.413     6944.739       18.013      255.000   116108.000       30.000     2569.000       30.000      157.000       90.000        8.000       69.204        0.000        7.612       22.318        0.865        0.000        2.107        2.126        3.050
   28000.000 -1666274.036   141347.456    86901.623   184867.959     1173.431 -2354319.998   273755.493    42515.262       27.135       55.404     6945.603       18.055      257.000   116398.000       32.000     2540.000       27.000      158.000      100.000        7.000       68.339        0.000        6.228       24.740        0.692        0.000        2.252        2.271        3.236
   28100.000 -1666108.960   142532.842    85706.592   185161.563     1222.523 -2353218.023   272485.543    42546.230       27.141       55.393     6946.446       18.057      249.000   116090.000       30.000     2612.000       22.000      150.000       87.000        7.000       67.301        0.000        7.612       23.529        1.557        0.000        2.295        2.313        3.248
   28200.000 -1667712.421   143541.933    86555.143   184279.334     1069.952 -2355611.663   272452.880    43866.109       27.090       55.428     6975.607       18.186      262.000   116342.000       28.000     2615.000       26.000      167.000       93.000        7.000       65.571        0.000       11.073       22.664        0.692        0.000        2.140        2.156        3.099
   28300.000 -1666008.286   142800.502    86688.888   184875.373     1097.835 -2353630.030   272159.145    42691.328       27.093       55.421     6968.825       18.119      271.000   115854.000       31.000     2528.000       26.000      139.000       85.000        7.000       69.377        0.000        7.612       23.010        0.000        0.000        2.184        2.202        3.142
   28400.000 -1667824.410   142768.443    86527.554   184694.245     1140.821 -2359535.395   276579.923    43839.903       27.169       55.361     6902.994       18.113      259.000   116488.000       28.000     2577.000       23.000      164.000       83.000        7.000       68.858        0.000        8.304       22.145        0.692        0.000        2.186        2.197        3.155
   28500.000 -1666829.337   143579.049    86660.628   184688.139     1157.507 -2354216.747   271302.086    41993.709       27.079       55.368     6925.557       18.180      261.000   116144.000       32.000     2491.000       28.000      166.000       86.000        7.000       68.339        0.000        8.304       22.664        0.692        0.000        2.042        2.060        3.014
   28600.000 -1667198.943   142038.705    86139.603   184482.699     1130.679 -2353288.652   272298.021    42923.413       27.102       55.451     6957.682       18.016      259.000   116100.000       31.000     2542.000       36.000      159.000       87.000        8.000       66.609        0.000        8.304       23.529        1.557        0.000        2.021        2.042        3.056
   28700.000 -1666305.188   139844.040    86879.262   184890.102     1168.431 -2354565.261   275478.239    42352.030       27.183       55.393     6988.821       18.191      251.000   116070.000       30.000     2570.000       36.000      174.000       86.000        7.000       68.858        0.000        7.612       22.837        0.692        0.000        2.300        2.319        3.235
   28800.000 -1666606.761   142877.632    86068.633   184915.102     1092.358 -2354262.707   272702.220    42873.520       27.055       55.390     6991.664       18.266      248.000   115932.000       27.000     2587.000       35.000      156.000       89.000        7.000       68.858        0.000        8.997       22.145        0.000        0.000        2.331        2.346        3.336
   28900.000 -1668900.705   143920.743    86304.277   184978.404     1110.009 -2358552.998   273338.860    42828.768       27.068       55.378     6956.533       18.060      260.000   116500.000       31.000     2625.000       33.000      165.000       75.000        8.000       66.782        0.000        6.920       24.567        1.730        0.000        2.100        2.123        3.067
   29000.000 -1666003.988   141857.222    86980.129   184724.007     1084.330 -2353934.187   273284.512    41979.219       26.995       55.377     6945.863       18.342      251.000   116058.000       31.000     2630.000       40.000      159.000       78.000        7.000       66.609        0.000        8.304       23.529        1.557        0.000        2.205        2.222        3.270
   29100.000 -1668721.495   145351.218    86703.258   184728.108     1124.185 -2356831.038   270202.774    42644.245       27.114       55.408     6977.627       18.387      258.000   115886.000       26.000     2480.000       30.000      163.000       74.000        7.000       67.647        0.000        7.612       22.145        2.595        0.000        2.275        2.296        3.273
   29200.000 -1668622.361   143443.272    86430.250   183936.593     1119.758 -2353879.278   270327.043    41453.140       27.041       55.403     6984.588       18.289      257.000   116052.000       23.000     2560.000       35.000      157.000       78.000        7.000       66.782        0.000        6.228       26.298        0.692        0.000        2.211        2.229        3.282
   29300.000 -1666883.349   143114.725    85441.895   184944.182     1074.740 -2353511.569   272052.678    42854.201       27.220       55.396     6925.086       18.193      245.000   116094.000       34.000     2404.000       36.000      147.000       82.000        8.000       69.204        0.000        4.844       25.260        0.692        0.000        2.230        2.248        3.192
   29400.000 -1666968.449   144316.836    86729.171   184988.645     1163.055 -2353912.396   269746.240    42419.589       27.015       55.417     6882.115       18.234      254.000   116160.000       39.000     2585.000       32.000      150.000       79.000        7.000       69.896        0.000        6.228       23.183        0.692        0.000        2.245        2.267        3.195
   29500.000 -1667209.025   143691.565    86211.340   184589.915     1196.236 -2354621.579   271723.499    42588.405       27.075       55.367     6986.409       18.286      268.000   116046.000       39.000     2569.000       26.000      156.000       79.000        7.000       66.263        0.000        9.689       23.356        0.692        0.000        1.980        2.000        3.095
   29600.000 -1667901.415   146910.750    86648.099   185494.335     1182.771 -2358077.456   269940.087    42043.948       27.278       55.381     6907.074       18.289      266.000   116164.000       39.000     2528.000       33.000      158.000       82.000        7.000       65.052        0.000        8.304       24.394        2.249        0.000        2.104        2.121        3.128
   29700.000 -1668904.679   144017.976    86397.875   184954.307     1159.168 -2357369.532   271935.527    42380.778       27.318       55.378     7030.528       18.429      254.000   116034.000       38.000     2608.000       41.000      181.000       79.000        7.000       69.031        0.000       10.381       20.588        0.000        0.000        2.302        2.318        3.316
   29800.000 -1667019.145   143784.668    86333.211   185104.191     1186.514 -2355533.762   272106.034    43413.494       27.273       55.398     7052.126       18.475      245.000   116216.000       33.000     2562.000       34.000      153.000       91.000        7.000       66.782        0.000        7.612       24.740        0.865        0.000        2.277        2.291        3.282
   29900.000 -1666025.971   144799.823    86136.001   184468.345     1171.706 -2353277.625   270675.780    42533.712       27.265       55.403     6988.357       18.428      281.000   115928.000       34.000     2540.000       34.000      158.000       80.000        7.000       67.647        0.000        9.689       22.664        0.000        0.000        2.454        2.469        3.441
   30000.000 -1668117.217   145777.977    86659.869   184628.306     1133.950 -2353339.643   267022.324    41567.506       27.221       55.429     7041.620       18.428      269.000   116184.000       31.000     2600.000       37.000      156.000       87.000        7.000       65.571        0.000        9.689       22.837        1.903        0.000        2.293        2.307        3.226
   30100.000 -1666883.731   145667.915    86718.779   184558.644     1124.750 -2355831.050   270877.230    42273.564       27.127       55.381     6966.694       18.309      262.000   116130.000       34.000     2652.000       39.000      181.000       90.000        7.000       70.415        0.000        7.612       21.972        0.000        0.000        2.288        2.301        3.215
   30200.000 -1666948.760   145329.663    86877.769   184451.290     1074.290 -2355475.395   270793.624    42748.266       27.297       55.351     6898.433       17.994      269.000   115860.000       32.000     2556.000       41.000      140.000       89.000        7.000       68.512        0.000        7.612       22.318        1.557        0.000        2.507        2.519        3.377
   30300.000 -1666808.600   144127.820    86421.950   184583.484     1090.446 -2352033.747   269001.446    42396.626       27.231       55.408     7025.737       18.152      251.000   115828.000       34.000     2581.000       39.000      167.000       80.000        7.000       66.955        0.000        7.612       24.740        0.692        0.000        2.315        2.329        3.197
   30400.000 -1666109.211   143245.190    86590.874   184649.610     1156.347 -2352941.962   271190.731    42779.531       27.281       55.377     6972.778       18.251      257.000   115940.000       31.000     2510.000       34.000      165.000       85.000        8.000       68.512        0.000        6.920       23.183        1.384        0.000        2.340        2.356        3.297
   30500.000 -1664458.865   142923.963    87067.632   184176.190     1192.048 -2352714.456   272895.759    43179.030       27.153       55.432     6930.013       18.187      253.000   115692.000       35.000     2543.000       38.000      145.000       76.000        7.000       68.858        0.000        6.920       24.221        0.000        0.000        2.158        2.176        3.100
   30600.000 -1667553.074   143416.836    85760.859   184712.060     1053.805 -2351547.858   269051.224    42382.312       27.111       55.388     6981.803       18.265      254.000   115940.000       36.000     2675.000       35.000      148.000       88.000        7.000       65.744        0.000       11.073       23.183        0.000        0.000        2.073        2.091        3.105
   30700.000 -1666534.826   144676.338    86242.302   184364.689     1127.039 -2353924.004   270978.809    42604.069       27.115       55.415     6965.423       18.377      261.000   116324.000       32.000     2610.000       37.000      160.000       86.000        8.000       65.917        0.000        9.689       23.702        0.692        0.000        1.945        1.965        2.931
   30800.000 -1665334.948   141938.993    86999.398   184661.561     1164.798 -2352778.608   272678.910    41688.392       27.173       55.398     7011.565       18.307      264.000   116124.000       35.000     2527.000       32.000      150.000       85.000        7.000       68.858        0.000        6.920       23.529        0.692        0.000        1.972        1.987        2.954
   30900.000 -1664967.821   142583.045    87290.068   184770.781     1070.167 -2351444.807   270762.925    42177.199       27.145       55.384     6983.245       18.351      252.000   115720.000       32.000     2559.000       34.000      160.000       84.000        7.000       68.858        0.000        6.228       24.221        0.692        0.000        1.992        2.009        2.971
   31000.000 -1666665.270   143138.903    86307.407   184800.799     1076.650 -2354375.967   272386.938    41802.353       27.068       55.405     6961.663       18.315      247.000   116108.000       30.000     2582.000       33.000      146.000       87.000        8.000       67.993        0.000        7.612       22.837        1.557        0.000        1.932        1.952        2.953
   31100.000 -1666132.307   142304.129    86681.882   184850.444     1132.615 -2354535.317   273433.940    43422.485       27.148       55.382     6933.557       18.323      256.000   116014.000       32.000     2545.000       38.000      134.000       91.000        7.000       70.588        0.000        6.920       21.799        0.692        0.000        1.998        2.018        3.005
   31200.000 -1665038.177   142766.284    86609.662   184651.778     1106.496 -2351448.908   271276.511    43040.201       27.131       55.411     7062.388       18.320      272.000   116028.000       34.000     2487.000       27.000      165.000       91.000        8.000       71.107        0.000        6.228       21.799        0.865        0.000        1.959        1.975        3.005
   31300.000 -1666672.991   143282.764    87210.511   185034.224     1088.917 -2357087.200   273797.795    43129.629       27.216       55.410     6981.720       18.369      255.000   116266.000       36.000     2527.000       32.000      159.000       89.000        7.000       68.339        0.000        8.304       22.664        0.692        0.000        2.011        2.025        2.954
   31400.000 -1666410.026   143919.290    86783.876   184803.815     1176.266 -2350047.642   266954.369    41605.304       27.080       55.384     7024.255       18.456      268.000   115784.000       37.000     2555.000       31.000      182.000       78.000        7.000       66.090        0.000        6.920       24.048        2.941        0.000        2.008        2.024        3.012
   31500.000 -1667219.049   143350.698    86391.333   184438.845     1234.311 -2350541.557   267907.321    43006.331       27.062       55.402     7167.608       18.569      276.000   116098.000       33.000     2535.000       27.000      160.000       87.000        7.000       67.474        0.000        6.228       24.913        1.384        0.000        2.062        2.080        3.117
   31600.000 -1665895.072   142710.505    86342.886   184806.013     1195.074 -2354329.211   273379.660    42759.961       27.126       55.408     7119.877       18.496      274.000   115972.000       31.000     2568.000       25.000      144.000       78.000        7.000       69.377        0.000        6.920       21.453        2.249        0.000        2.092        2.107        3.120
   31700.000 -1664697.484   139833.044    86227.514   184811.367     1139.834 -2351064.127   274354.884    42780.482       27.350       55.349     7054.220       18.314      265.000   115906.000       33.000     2505.000       34.000      151.000       79.000        8.000       66.609        0.000        6.920       23.702        2.768        0.000        1.936        1.959        3.010
   31800.000 -1666543.018   142325.564    87010.540   184600.644     1069.530 -2354089.117   272539.820    42751.247       27.182       55.375     7154.028       18.589      255.000   115972.000       32.000     2597.000       27.000      162.000       83.000        8.000       65.571        0.000       10.381       22.664        1.384        0.000        2.066        2.084        3.089
   31900.000 -1666726.958   144346.466    85253.519   184788.644     1143.047 -2354597.034   272338.400    42822.346       27.326       55.396     6998.402       18.423      272.000   116124.000       34.000     2571.000       28.000      150.000       89.000        8.000       69.204        0.000        6.920       22.491        1.384        0.000        2.066        2.079        3.072
   32000.000 -1667070.728   141727.283    85076.896   185025.672     1074.612 -2351726.054   271750.863    41879.595       27.258       55.381     7000.153       18.332      255.000   115598.000       30.000     2578.000       33.000      160.000       80.000        8.000       67.301        0.000        7.612       22.664        2.422        0.000        1.988        2.006        2.972
   32100.000 -1666354.905   143335.666    87455.304   184835.412     1183.369 -2355097.932   271933.276    41708.339       27.261       55.402     7059.510       18.496      260.000   115946.000       34.000     2493.000       35.000      131.000       76.000        7.000       69.377        0.000        7.612       22.318        0.692        0.000        2.027        2.042        3.090
   32200.000 -1664824.314   141773.870    87070.606   184435.246     1148.613 -2353584.773   274332.126    42618.160       27.154       55.378     7039.483       18.550      272.000   115802.000       36.000     2566.000       36.000      151.000       79.000        8.000       70.069        0.000        8.304       20.934        0.692        0.000        1.853        1.868        2.963
   32300.000 -1667425.324   144839.993    86616.086   184271.135     1118.334 -2353859.560   269588.688    43068.288       27.357       55.373     7113.816       18.646      267.000   116168.000       31.000     2496.000       34.000      155.000       81.000        8.000       64.533        0.000        8.304       24.394        2.768        0.000        2.013        2.033        3.139
   32400.000 -1666429.651   143126.463    86401.017   184927.021     1120.558 -2355607.197   273602.488    42631.174       27.182       55.354     7097.279       18.437      263.000   116346.000       32.000     2604.000       37.000      157.000       79.000        7.000       69.377        0.000        6.920       22.318        1.384        0.000        1.829        1.851        2.986
   32500.000 -1669357.968   145230.094    86482.248   184820.679     1187.243 -2361315.857   274237.625    42404.007       27.222       55.408     6986.482       18.403      251.000   116380.000       28.000     2513.000       42.000      141.000       83.000        7.000       67.993        0.000        9.689       21.626        0.692        0.000        1.946        1.960        3.036
   32600.000 -1668380.591   143034.736    86557.942   185101.107     1124.996 -2359884.880   275685.508    42644.047       27.237       55.367     7103.140       18.584      248.000   115924.000       33.000     2557.000       37.000      173.000       81.000        7.000       67.647        0.000        8.997       22.664        0.692        0.000        1.982        2.001        3.078
   32700.000 -1666115.855   144505.632    85850.523   184657.076     1120.499 -2350917.901   268668.316    42929.743       27.206       55.414     7121.486       18.604      271.000   115990.000       27.000     2563.000       35.000      150.000       82.000        7.000       67.301        0.000       10.381       22.318        0.000        0.000        1.969        1.981        3.099
   32800.000 -1666734.370   142506.623    86207.098   185364.378     1144.373 -2353125.708   271168.866    42895.360       27.191       55.427     7246.699       18.561      262.000   116022.000       33.000     2531.000       25.000      148.000       77.000        7.000       68.512        0.000        8.304       21.799        1.384        0.000        1.932        1.953        3.075
   32900.000 -1665159.971   142659.825    86105.303   184753.765     1127.154 -2352435.671   272629.652    42388.319       27.112       55.387     7158.628       18.662      252.000   115846.000       27.000     2617.000       42.000      170.000       78.000        8.000       67.301        0.000        8.304       22.145        2.249        0.000        1.773        1.794        2.863
   33000.000 -1665910.908   141410.865    85176.542   185601.157     1169.373 -2352892.128   273623.282    42276.465       27.164       55.355     7079.933       18.670      279.000   115900.000       37.000     2628.000       38.000      169.000       75.000        7.000       69.723        0.000        5.536       23.356        1.384        0.000        1.900        1.914        3.011
   33100.000 -1668764.443   142497.870    86648.237   185480.921     1101.086 -2357999.743   273507.186    42366.340       27.105       55.396     7033.038       18.386      281.000   115986.000       34.000     2590.000       35.000      179.000       82.000        7.000       69.550        0.000        7.612       22.837        0.000        0.000        1.860        1.879        2.923
   33200.000 -1667304.467   146564.707    86204.941   185235.645     1101.319 -2356460.280   270049.201    42165.756       27.015       55.389     7101.197       18.490      269.000   116064.000       35.000     2565.000       42.000      166.000       78.000        7.000       68.512        0.000        9.689       21.107        0.692        0.000        1.818        1.839        2.923
   33300.000 -1668004.073   141139.395    86352.270   185583.292     1044.610 -2357148.159   275024.519    42939.243       26.975       55.373     7022.459       18.521      255.000   116278.000       38.000     2672.000       42.000      168.000       80.000        8.000       68.685        0.000        8.304       20.934        2.076        0.000        2.003        2.024        3.106
   33400.000 -1665459.517   142392.215    86453.105   185047.574     1105.073 -2353468.900   273011.417    42591.665       27.065       55.403     7050.042       18.707      260.000   116072.000       36.000     2600.000       31.000      153.000       89.000        7.000       65.917        0.000        6.228       25.433        2.422        0.000        2.038        2.064        3.088
   33500.000 -1666375.498   142298.416    86911.675   184458.508     1134.895 -2354587.433   273408.440    42276.459       27.245       55.400     7145.774       18.720      270.000   115970.000       40.000     2634.000       43.000      192.000       78.000        7.000       70.588        0.000        4.844       21.453        3.114        0.000        2.093        2.115        3.127
   33600.000 -1666588.569   140601.019    86684.093   185371.374     1122.901 -2354864.588   274496.631    43320.366       27.141       55.388     7092.923       18.666      276.000   115962.000       35.000     2582.000       43.000      163.000       81.000        8.000       69.204        0.000        5.536       23.529        1.730        0.000        2.151        2.172        3.237
   33700.000 -1667437.415   143696.954    87059.587   184555.244     1123.400 -2358080.099   274207.499    43061.872       27.015       55.351     7147.225       18.663      265.000   116380.000       28.000     2575.000       32.000      171.000       78.000        7.000       67.474        0.000        6.920       23.356        2.249        0.000        1.912        1.934        3.124
   33800.000 -1666599.621   144831.396    86754.170   184942.508     1110.325 -2352330.570   268092.549    42520.001       27.102       55.391     7091.039       18.536      261.000   116106.000       32.000     2638.000       35.000      154.000       75.000        7.000       67.128        0.000        8.997       23.875        0.000        0.000        1.934        1.955        2.963
   33900.000 -1667209.997   143060.093    87065.979   185011.132     1113.455 -2354983.198   271522.542    42889.379       27.119       55.395     7115.944       18.585      267.000   115986.000       39.000     2602.000       38.000      144.000       78.000        7.000       69.204        0.000        7.612       23.183        0.000        0.000        2.035        2.054        3.097
   34000.000 -1666960.157   142163.925    86769.471   184915.204     1188.696 -2352814.174   270816.721    42628.530       27.340       55.418     7061.046       18.277      280.000   115910.000       32.000     2612.000       28.000      158.000       87.000        8.000       66.782        0.000        7.612       24.221        1.384        0.000        2.161        2.173        3.066
