	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
    2100.000 -1666542.809   143356.341    86475.948   185096.544     1151.455 -2354724.970   272101.872    43084.799       27.318       55.378     6656.746       16.969      244.000   116108.000       39.000     2506.000       49.000      183.000       75.000        8.000       68.512        0.000        7.612       21.453        2.422        0.000        2.399        2.430        2.763
    2200.000 -1667654.402   143832.306    86515.230   185306.931     1178.849 -2355852.364   271364.647    42172.223       27.362       55.414     6600.337       16.970      228.000   116246.000       45.000     2530.000       47.000      177.000       76.000        7.000       67.301        0.000        6.920       22.145        3.633        0.000        2.213        2.239        2.598
    2300.000 -1667770.945   145250.536    86379.224   185032.152     1150.318 -2355829.441   270246.265    42498.979       27.296       55.407     6641.903       16.982      246.000   116186.000       45.000     2521.000       42.000      179.000       72.000        7.000       67.474        0.000        9.689       22.145        0.692        0.000        2.399        2.417        2.747
    2400.000 -1666665.365   144472.382    86773.315   185480.402     1103.888 -2354630.349   270134.998    42601.984       27.422       55.444     6679.496       17.139      245.000   116104.000       45.000     2538.000       40.000      180.000       76.000        7.000       65.744        0.000        6.920       24.221        3.114        0.000        2.344        2.363        2.731
    2500.000 -1665225.675   143845.322    86896.035   185382.644     1135.762 -2353800.712   271315.275    42035.244       27.388       55.444     6665.536       16.930      248.000   116008.000       42.000     2566.000       46.000      187.000       78.000        7.000       67.647        0.000        8.997       21.107        2.249        0.000        2.280        2.301        2.700
    2600.000 -1668236.597   142453.842    85665.571   185171.888     1120.131 -2356240.802   273592.773    42144.404       27.377       55.389     6653.099       17.020      249.000   116244.000       41.000     2500.000       49.000      164.000       86.000        7.000       70.588        0.000        8.304       20.242        0.865        0.000        2.480        2.500        2.880
    2700.000 -1666043.078   142507.674    85971.309   184846.790     1194.943 -2355187.577   274623.784    41528.414       27.378       55.390     6634.610       17.078      249.000   116104.000       42.000     2522.000       45.000      143.000       80.000        8.000       67.301        0.000        6.228       24.740        1.730        0.000        2.318        2.340        2.712
    2800.000 -1665933.331   144007.558    84949.067   185486.163     1059.291 -2352402.928   270967.518    43203.485       27.214       55.419     6682.833       16.935      244.000   115906.000       41.000     2595.000       33.000      180.000       80.000        7.000       66.955        0.000        9.689       21.453        1.903        0.000        2.177        2.199        2.625
    2900.000 -1666364.552   142502.775    86384.323   185038.515     1101.431 -2352888.657   271497.061    42581.458       27.258       55.362     6723.588       17.042      248.000   115880.000       38.000     2573.000       31.000      147.000       89.000        7.000       66.090        0.000        6.920       25.087        1.903        0.000        2.213        2.237        2.639
    3000.000 -1665502.120   142214.127    87058.786   185338.259     1097.171 -2354572.027   273361.565    42963.874       27.322       55.408     6801.180       17.027      247.000   115902.000       42.000     2465.000       33.000      145.000       89.000        7.000       65.398        0.000       10.381       22.491        1.730        0.000        2.260        2.296        2.712
    3100.000 -1664527.517   142746.236    86757.429   185489.759     1116.051 -2350835.402   270198.410    41609.110       27.199       55.406     6776.009       17.191      247.000   115810.000       38.000     2585.000       31.000      170.000       89.000        7.000       69.550        0.000        7.612       21.280        1.557        0.000        2.223        2.255        2.654
    3200.000 -1665379.410   145139.658    85438.528   185493.892     1119.606 -2353198.473   270627.378    41690.614       27.341       55.423     6756.016       16.871      252.000   116018.000       39.000     2526.000       28.000      164.000       82.000        7.000       66.090        0.000        7.612       24.913        1.384        0.000        2.006        2.031        2.496
    3300.000 -1665742.868   145025.212    87391.007   185215.622     1140.144 -2355164.063   270649.211    42902.332       27.249       55.409     6625.060       16.977      257.000   116404.000       41.000     2574.000       33.000      155.000       76.000        7.000       65.398        0.000        8.304       24.567        1.730        0.000        2.267        2.295        2.729
    3400.000 -1666128.005   144139.486    86375.972   185084.198     1087.103 -2351966.272   269151.506    42150.524       27.366       55.439     6644.806       17.091      250.000   115976.000       49.000     2506.000       30.000      156.000       77.000        7.000       65.917        0.000        9.689       23.529        0.865        0.000        2.222        2.248        2.686
    3500.000 -1664878.046   141054.032    86811.636   185399.550     1148.101 -2351298.546   272007.182    42543.784       27.259       55.398     6672.393       17.056      242.000   115954.000       45.000     2498.000       28.000      156.000       68.000        7.000       67.647        0.000        7.612       23.875        0.865        0.000        2.287        2.304        2.768
    3600.000 -1665918.995   144841.536    86948.879   184796.550     1185.008 -2355416.821   271725.854    42192.304       27.367       55.423     6710.041       16.993      256.000   116000.000       41.000     2490.000       28.000      154.000       72.000        7.000       64.533        0.000        6.920       25.260        3.287        0.000        2.331        2.356        2.778
