	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
    2100.000 -1612857.206   141617.648    86928.259   185289.276     1185.459 -2295842.980   267965.131    43670.905       27.355       55.433     6712.600       16.529      255.000   116252.000       45.000     2554.000       31.000      149.000       71.000        0.000       67.474        0.000        8.304       22.145        2.076        0.000        1.730        1.757        2.360
    2200.000 -1613813.763   144181.619    87422.339   185029.400     1094.473 -2294646.744   263105.150    42739.846       27.354       55.435     6738.756       16.497      261.000   116296.000       49.000     2553.000       39.000      171.000       72.000        0.000       68.858        0.000        9.689       20.761        0.692        0.000        1.680        1.706        2.330
    2300.000 -1613044.885   139682.969    86915.347   185735.264     1133.085 -2294511.950   268000.401    42778.178       27.269       55.441     6844.557       16.711      248.000   116198.000       49.000     2548.000       34.000      152.000       72.000        0.000       68.858        0.000        8.997       21.280        0.865        0.000        1.649        1.672        2.306
    2400.000 -1610121.461   143406.450    86960.775   185504.599     1152.528 -2291360.850   264215.037    43182.300       27.250       55.451     6711.229       16.637      257.000   115774.000       46.000     2589.000       26.000      175.000       66.000        0.000       67.474        0.000        8.997       21.453        2.076        0.000        1.794        1.819        2.400
    2500.000 -1611998.590   142823.194    87208.137   185377.333     1178.313 -2295418.591   266833.024    42413.284       27.121       55.425     6768.903       16.580      255.000   116148.000       42.000     2670.000       34.000      153.000       62.000        0.000       64.879        0.000       11.073       20.761        3.287        0.000        1.735        1.761        2.507
    2600.000 -1613271.805   144272.413    86867.836   184843.586     1159.600 -2295582.290   265167.050    43236.970       27.282       55.421     6804.130       16.637      263.000   116118.000       40.000     2551.000       20.000      148.000       63.000        0.000       71.280        0.000        6.920       19.550        2.249        0.000        1.880        1.905        2.585
    2700.000 -1613220.394   144096.705    86605.385   184935.576     1148.188 -2293385.581   263379.332    41310.019       27.305       55.397     6891.953       16.990      261.000   116100.000       37.000     2640.000       30.000      146.000       65.000        0.000       69.896        0.000        9.689       20.415        0.000        0.000        2.070        2.091        2.731
    2800.000 -1614078.543   141418.559    86740.408   185389.804     1060.310 -2297506.094   268818.471    42372.757       27.176       55.423     6784.771       16.921      262.000   116198.000       42.000     2616.000       25.000      163.000       61.000        0.000       67.301        0.000        6.920       23.529        2.249        0.000        2.087        2.112        2.714
    2900.000 -1613178.397   143265.767    86093.497   185168.926     1268.777 -2294612.835   265637.471    42595.292       27.207       55.430     6927.990       17.027      261.000   116330.000       44.000     2542.000       23.000      152.000       69.000        0.000       66.263        0.000        9.689       20.588        3.460        0.000        1.979        2.002        2.676
    3000.000 -1614037.730   145332.359    86882.794   185062.680     1134.009 -2295368.817   262919.245    43502.890       27.175       55.499     6968.074       17.205      242.000   116488.000       45.000     2641.000       31.000      130.000       70.000        0.000       68.512        0.000        7.612       22.145        1.730        0.000        1.943        1.969        2.591
